#,Page Name,Section,Local File,Target Live URL,Built Locally,New Build Live,Old Page Live,Deploy Batch,Legacy .php URL,Page Title (SEO),Notes
11,Braces in Dublin CA,Main,braces-in-dublin-ca.html,https://www.drdantegonzales.com/braces-in-dublin-ca.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/braces-in-dublin-ca.php,Braces in Dublin CA | Dr Dante Gonzales Orthodontics,Old .php still serving this URL.
12,Braces in Tracy CA,Main,braces-in-tracy-ca.html,https://www.drdantegonzales.com/braces-in-tracy-ca.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/braces-in-tracy-ca.php,Braces in Tracy CA | Adult & Teen Braces – Dr Dante Gonzales,Old .php still serving this URL.
13,Accelerated Treatment,Main,accelerated-treatment.html,https://www.drdantegonzales.com/accelerated-treatment.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/accelerated-treatment.php,Get your orthodontics treatment with the best orthodontist,Old .php still serving this URL.
14,Surgical Orthodontist,Main,surgical-orthodontist.html,https://www.drdantegonzales.com/surgical-orthodontist.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/surgical-orthodontist.php,Expert Surgical Orthodontist | Dante Gonzales,Old .php still serving this URL.
15,Surgical Orthodontics,Main,surgical-orthodontics.html,https://www.drdantegonzales.com/surgical-orthodontics.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/surgical-orthodontics.php,Best Surgical orthodontics for Jaw Alignment in Dublin & Tracy,Old .php still serving this URL.
16,Sleep Apnea Treatment (hub),Main,sleep-apnea-treatment.html,https://www.drdantegonzales.com/sleep-apnea-treatment.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/sleep-apnea-specialist-dublin-california-ca.php,Best sleep apnea treatment near Dublin & Tracy,Old .php still serving this URL.
17,Sleep Apnea Dentist - Dublin,Main,sleep-apnea-dublin.html,https://www.drdantegonzales.com/sleep-apnea-dublin.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/sleep-apnea-dentist-in-dublin.php,Sleep Apnea Dentist in Dublin | Dr Dante Gonzales,Old .php still serving this URL.
18,Sleep Apnea Treatment - Tracy,Main,sleep-apnea-tracy.html,https://www.drdantegonzales.com/sleep-apnea-tracy.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/sleep-apnea-treatment-tracy.php,Sleep Apnea Treatment Tracy CA | Dante Gonzales,Old .php still serving this URL.
19,Why Dante Gonzales Orthodontics,Main,why-dante-gonzales.html,https://www.drdantegonzales.com/why-dante-gonzales.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/best-dublin-ca-orthodontics-office-and-orthodontist.php,5- Star Rated Dublin Orthodontist: Dante Gonzales,Old .php still serving this URL.
20,Before & Afters,Main,before-after.html,https://www.drdantegonzales.com/before-after.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/before-after.php,Smile Before & After Photos | Invasalign : Dante Gonzales,Old .php still serving this URL.
21,Invisalign Quiz,Main,invisalign-quiz.html,https://www.drdantegonzales.com/invisalign-quiz.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/invisalign-quiz.php,Invisalign Quiz | Dante Gonzales Orthodontics,Old .php still serving this URL.
22,Impression Techniques,Main,impression-techniques.html,https://www.drdantegonzales.com/impression-techniques.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/impression-techniques-in-orthodontics.php,Dental Care: Advanced Impression Tech with Dante Gonzales,Old .php still serving this URL.
23,Blog Index,Main,blog.html,https://www.drdantegonzales.com/blog.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog.php,Orthodontics Informational Blogs| Dante Gonzales,Old .php still serving this URL.
24,Contact - Dublin Office,Main,contact-dublin.html,https://www.drdantegonzales.com/contact-dublin.html,Yes,No,Yes,Batch 1,https://www.drdantegonzales.com/dublin-ca-orthodontic-office-contact.php,Contact Dublin Orthodontic Clinic ‒ Dante Gonzales,"Staged in dist-partial/, not yet uploaded."
25,Contact - Tracy Office,Main,contact-tracy.html,https://www.drdantegonzales.com/contact-tracy.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/tracy-ca-orthodontic-office-contact.php,Contact Tracy CA Orthodontic – Dr. Gonzales,Old .php still serving this URL.
26,404 Error Page,System,404.html,https://www.drdantegonzales.com/404.html,Yes,No,No,,,Page Not Found (404) | Dante Gonzales Orthodontics,New page - no old-site equivalent.
27,Do Braces Create Gaps Between Front Teeth?,Blog,blog/braces-create-small-gap-between-front-teeth-is-it-normal.html,https://www.drdantegonzales.com/blog/braces-create-small-gap-between-front-teeth-is-it-normal.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/braces-create-small-gap-between-front-teeth-is-it-normal.php,Do Braces Create Gaps Between Front Teeth?,Old .php still serving this URL.
28,Braces vs Invisalign: Which Is Right for You?,Blog,blog/braces-vs-invisalign.html,https://www.drdantegonzales.com/blog/braces-vs-invisalign.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/braces-vs-invisalign.php,Braces vs Invisalign: Which Is Right for You?,Old .php still serving this URL.
29,Do Braces Fix Overbite? Treatment Options Explained,Blog,blog/can-braces-fix-an-overbite-permanently.html,https://www.drdantegonzales.com/blog/can-braces-fix-an-overbite-permanently.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-braces-fix-an-overbite-permanently.php,Do Braces Fix Overbite? Treatment Options Explained,Old .php still serving this URL.
30,Can Invisalign Fix Gaps Between Front Teeth?,Blog,blog/can-invisalign-fix-protruding-front-teeth.html,https://www.drdantegonzales.com/blog/can-invisalign-fix-protruding-front-teeth.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-invisalign-fix-protruding-front-teeth.php,Can Invisalign Fix Gaps Between Front Teeth?,Old .php still serving this URL.
31,Can Orthodontic Treatment Help Sleep Apnea? What You Need to Know?,Blog,blog/can-orthodontic-treatment-help-sleep-apnea.html,https://www.drdantegonzales.com/blog/can-orthodontic-treatment-help-sleep-apnea.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-orthodontic-treatment-help-sleep-apnea.php,Can Orthodontic Treatment Help Sleep Apnea? What You Need to Know?,Old .php still serving this URL.
32,"TMJ Ear Pain Relief with Dante Gonzales, Best Orthodontist",Blog,blog/can-tmj-dysfuntion-cause-ear-pain.html,https://www.drdantegonzales.com/blog/can-tmj-dysfuntion-cause-ear-pain.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-tmj-dysfuntion-cause-ear-pain.php,"TMJ Ear Pain Relief with Dante Gonzales, Best Orthodontist",Old .php still serving this URL.
33,Can You Chew Gum With Invisalign? What to Know,Blog,blog/can-you-chew-gum-with-invisalign-without-affecting-your-treatment.html,https://www.drdantegonzales.com/blog/can-you-chew-gum-with-invisalign-without-affecting-your-treatment.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-you-chew-gum-with-invisalign-without-affecting-your-treatment.php,Can You Chew Gum With Invisalign? What to Know,Old .php still serving this URL.
34,Can You Chew Gum With Invisalign? What Every Patient Should Know,Blog,blog/can-you-chew-gum-with-invisalign.html,https://www.drdantegonzales.com/blog/can-you-chew-gum-with-invisalign.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-you-chew-gum-with-invisalign.php,Can You Chew Gum With Invisalign? What Every Patient Should Know,Old .php still serving this URL.
35,Can You Drink With Invisalign? What Drinks Are Okay With Invisalign?,Blog,blog/can-you-drink-with-invisalign.html,https://www.drdantegonzales.com/blog/can-you-drink-with-invisalign.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-you-drink-with-invisalign.php,Can You Drink With Invisalign? What Drinks Are Okay With Invisalign?,Old .php still serving this URL.
36,"Can You Eat With Invisalign? Foods, Rules & Expert Tips",Blog,blog/can-you-eat-with-invisalign.html,https://www.drdantegonzales.com/blog/can-you-eat-with-invisalign.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-you-eat-with-invisalign.php,"Can You Eat With Invisalign? Foods, Rules & Expert Tips",Old .php still serving this URL.
37,Can You Get Braces with Missing Teeth? Here’s What Orthodontists Say,Blog,blog/can-you-get-braces-with-missing-teeth-heres-what-orthodontists-say.html,https://www.drdantegonzales.com/blog/can-you-get-braces-with-missing-teeth-heres-what-orthodontists-say.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-you-get-braces-with-missing-teeth-heres-what-orthodontists-say.php,Can You Get Braces with Missing Teeth? Here’s What Orthodontists Say,Old .php still serving this URL.
38,How to Straighten Teeth Without Braces,Blog,blog/can-you-really-straighten-teeth-without-braces.html,https://www.drdantegonzales.com/blog/can-you-really-straighten-teeth-without-braces.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-you-really-straighten-teeth-without-braces.php,How to Straighten Teeth Without Braces,Old .php still serving this URL.
39,Crowded Teeth Before and After: Real Smile Results,Blog,blog/crowded-teeth-before-and-after.html,https://www.drdantegonzales.com/blog/crowded-teeth-before-and-after.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/crowded-teeth-before-and-after.php,Crowded Teeth Before and After: Real Smile Results,Old .php still serving this URL.
40,Do Braces or Invisalign Hurt More? Find Out,Blog,blog/do-braces-hurt-how-long-the-pain-lasts-and-how-to-cope.html,https://www.drdantegonzales.com/blog/do-braces-hurt-how-long-the-pain-lasts-and-how-to-cope.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/do-braces-hurt-how-long-the-pain-lasts-and-how-to-cope.php,Do Braces or Invisalign Hurt More? Find Out,Old .php still serving this URL.
41,"What Is an Underbite? Causes, Symptoms & Treatment",Blog,blog/do-braces-or-invisalign-hurt-what-to-expect-during-your-first-week.html,https://www.drdantegonzales.com/blog/do-braces-or-invisalign-hurt-what-to-expect-during-your-first-week.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/do-braces-or-invisalign-hurt-what-to-expect-during-your-first-week.php,"What Is an Underbite? Causes, Symptoms & Treatment",Old .php still serving this URL.
42,Does Invisalign Hurt More Than Braces? Pain Comparison Explained,Blog,blog/does-invisalign-hurt-more-than-braces.html,https://www.drdantegonzales.com/blog/does-invisalign-hurt-more-than-braces.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/does-invisalign-hurt-more-than-braces.php,Does Invisalign Hurt More Than Braces? Pain Comparison Explained,Old .php still serving this URL.
43,"Does Invisalign Hurt? Truth About Pain, Pressure & Comfort",Blog,blog/does-invisalign-hurt.html,https://www.drdantegonzales.com/blog/does-invisalign-hurt.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/does-invisalign-hurt.php,"Does Invisalign Hurt? Truth About Pain, Pressure & Comfort",Old .php still serving this URL.
44,How Braces Can Correct Crooked Teeth: A Complete Guide,Blog,blog/how-braces-can-correct-crooked-teeth-a-complete-guide.html,https://www.drdantegonzales.com/blog/how-braces-can-correct-crooked-teeth-a-complete-guide.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/how-braces-can-correct-crooked-teeth-a-complete-guide.php,How Braces Can Correct Crooked Teeth: A Complete Guide,Old .php still serving this URL.
45,How Braces Can Lead to White Marks and What You Can Do About It - Dr. Dante Gonzales Orthodontics,Blog,blog/how-braces-can-lead-to-white-marks-and-what-you-can-do-about-it.html,https://www.drdantegonzales.com/blog/how-braces-can-lead-to-white-marks-and-what-you-can-do-about-it.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/how-braces-can-lead-to-white-marks-and-what-you-can-do-about-it.php,How Braces Can Lead to White Marks and What You Can Do About It - Dr. Dante Gonzales Orthodontics,Old .php still serving this URL.
46,How to Brush Teeth with Braces by Dante Gonzales Dental Care,Blog,blog/how-to-brush-teeth-with-braces.html,https://www.drdantegonzales.com/blog/how-to-brush-teeth-with-braces.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/how-to-brush-teeth-with-braces.php,How to Brush Teeth with Braces by Dante Gonzales Dental Care,Old .php still serving this URL.
47,How to Clean Invisalign Properly Without Damaging Your Aligners,Blog,blog/how-to-clean-invisalign-properly.html,https://www.drdantegonzales.com/blog/how-to-clean-invisalign-properly.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/how-to-clean-invisalign-properly.php,How to Clean Invisalign Properly Without Damaging Your Aligners,Old .php still serving this URL.
48,How to Fix a Gap Between Teeth? Treatment Options Compared,Blog,blog/how-to-fix-a-gap-between-teeth-treatment-options-compared.html,https://www.drdantegonzales.com/blog/how-to-fix-a-gap-between-teeth-treatment-options-compared.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/how-to-fix-a-gap-between-teeth-treatment-options-compared.php,How to Fix a Gap Between Teeth? Treatment Options Compared,Old .php still serving this URL.
49,Invisalign vs Braces: Which Is Better for Your Smile?,Blog,blog/invisalign-vs-braces-choosing-the-right-option-for-your-smile.html,https://www.drdantegonzales.com/blog/invisalign-vs-braces-choosing-the-right-option-for-your-smile.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/invisalign-vs-braces-choosing-the-right-option-for-your-smile.php,Invisalign vs Braces: Which Is Better for Your Smile?,Old .php still serving this URL.
50,"Jaw Pain on One Side: Causes, Symptoms & When to Seek Help",Blog,blog/jaw-pain-on-one-side.html,https://www.drdantegonzales.com/blog/jaw-pain-on-one-side.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/jaw-pain-on-one-side.php,"Jaw Pain on One Side: Causes, Symptoms & When to Seek Help",Old .php still serving this URL.
51,Overbite vs Underbite: Key Differences Explained,Blog,blog/overbite-vs-underbite.html,https://www.drdantegonzales.com/blog/overbite-vs-underbite.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/overbite-vs-underbite.php,Overbite vs Underbite: Key Differences Explained,Old .php still serving this URL.
52,How to Fix Crowded Teeth: Best Treatment Options,Blog,blog/the-best-solutions-on-how-to-fix-crowded-teeth-effectively.html,https://www.drdantegonzales.com/blog/the-best-solutions-on-how-to-fix-crowded-teeth-effectively.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/the-best-solutions-on-how-to-fix-crowded-teeth-effectively.php,How to Fix Crowded Teeth: Best Treatment Options,Old .php still serving this URL.
53,The Best Techniques to Floss Teeth with Braces Effectively,Blog,blog/the-best-techniques-to-floss-teeth-with-braces-effectively.html,https://www.drdantegonzales.com/blog/the-best-techniques-to-floss-teeth-with-braces-effectively.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/the-best-techniques-to-floss-teeth-with-braces-effectively.php,The Best Techniques to Floss Teeth with Braces Effectively,Old .php still serving this URL.
54,What Causes Crowded Teeth and How Dentists Fix Them? - Dr. Dante Gonzales Orthodontics,Blog,blog/what-causes-crowded-teeth-and-how-dentists-fix-them.html,https://www.drdantegonzales.com/blog/what-causes-crowded-teeth-and-how-dentists-fix-them.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/what-causes-crowded-teeth-and-how-dentists-fix-them.php,What Causes Crowded Teeth and How Dentists Fix Them? - Dr. Dante Gonzales Orthodontics,Old .php still serving this URL.
55,"What Is a Deep Bite? Causes, Symptoms & Treatment",Blog,blog/what-is-a-deep-bite.html,https://www.drdantegonzales.com/blog/what-is-a-deep-bite.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/what-is-a-deep-bite.php,"What Is a Deep Bite? Causes, Symptoms & Treatment",Old .php still serving this URL.
56,What Is an Underbite? Dante Gonzales Answers,Blog,blog/what-is-an-underbite.html,https://www.drdantegonzales.com/blog/what-is-an-underbite.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/what-is-an-underbite.php,What Is an Underbite? Dante Gonzales Answers,Old .php still serving this URL.
57,"Malocclusion of Teeth: Types, Symptoms & Treatment Guide",Blog,blog/what-is-malocclusion-of-teeth.html,https://www.drdantegonzales.com/blog/what-is-malocclusion-of-teeth.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/what-is-malocclusion-of-teeth.php,"Malocclusion of Teeth: Types, Symptoms & Treatment Guide",Old .php still serving this URL.
58,What Is Sleep Apnea Caused By? 7 Common Reasons You Should Know,Blog,blog/what-is-sleep-apnea-caused-by.html,https://www.drdantegonzales.com/blog/what-is-sleep-apnea-caused-by.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/what-is-sleep-apnea-caused-by.php,What Is Sleep Apnea Caused By? 7 Common Reasons You Should Know,Old .php still serving this URL.
59,"Teeth Protrusion: Causes, Risks & When to See a Dentist",Blog,blog/what-is-teeth-protrusion.html,https://www.drdantegonzales.com/blog/what-is-teeth-protrusion.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/what-is-teeth-protrusion.php,"Teeth Protrusion: Causes, Risks & When to See a Dentist",Old .php still serving this URL.
60,Blog banner link 1 (old site),Old site only,,,No,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog1.php,,"Live on old site, NOT rebuilt. Decide: rebuild, redirect or retire."
61,Blog banner link 2 (old site),Old site only,,,No,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog2.php,,"Live on old site, NOT rebuilt. Decide: rebuild, redirect or retire."
62,Blogs (old alternate URL),Old site only,,,No,No,Yes,Not scheduled,https://www.drdantegonzales.com/blogs.php,,"Live on old site, NOT rebuilt. Decide: rebuild, redirect or retire."
63,"Botox for TMJ: How It Works, What to Expect, and Is It Right for You",Blog,blog/botox-for-tmj.html,https://www.drdantegonzales.com/blog/botox-for-tmj.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/botox-for-tmj.php,"Botox for TMJ: How It Works, What to Expect, and Is It Right for You",Article content cloned verbatim from old .php post; images pulled from old site.
64,Botox for TMJ Cost: What You Should Expect to Pay in 2026,Blog,blog/botox-for-tmj-cost.html,https://www.drdantegonzales.com/blog/botox-for-tmj-cost.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/botox-for-tmj-cost.php,Botox for TMJ Cost: What You Should Expect to Pay in 2026,Article content cloned verbatim from old .php post; images pulled from old site.
65,Botox for Bruxism: Can It Stop Jaw Clenching and Teeth Grinding for Good?,Blog,blog/botox-for-bruxism.html,https://www.drdantegonzales.com/blog/botox-for-bruxism.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/botox-for-bruxism.php,Botox for Bruxism: Can It Stop Jaw Clenching and Teeth Grinding for Good?,Article content cloned verbatim from old .php post; images pulled from old site.
66,"What Is TMJ Disorder? Symptoms, Causes, and When to See an Orthodontist",Blog,blog/what-is-tmj-disorder.html,https://www.drdantegonzales.com/blog/what-is-tmj-disorder.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/what-is-tmj-disorder.php,"What Is TMJ Disorder? Symptoms, Causes, and When to See an Orthodontist",Article content cloned verbatim from old .php post; images pulled from old site.
67,TMJ Headaches: What Causes Them and How to Find Lasting Relief,Blog,blog/tmj-headaches.html,https://www.drdantegonzales.com/blog/tmj-headaches.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/tmj-headaches.php,TMJ Headaches: What Causes Them and How to Find Lasting Relief,Article content cloned verbatim from old .php post; images pulled from old site.
68,TMJ Treatment Options: From Night Guards and Botox to Orthodontic Care,Blog,blog/tmj-treatment-options.html,https://www.drdantegonzales.com/blog/tmj-treatment-options.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/tmj-treatment-options.php,TMJ Treatment Options: From Night Guards and Botox to Orthodontic Care,Article content cloned verbatim from old .php post; images pulled from old site.
69,"Invisalign for Adults: Benefits, Cost, and What to Expect",Blog,blog/invisalign-for-adults.html,https://www.drdantegonzales.com/blog/invisalign-for-adults.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/invisalign-for-adults.php,"Invisalign for Adults: Benefits, Cost, and What to Expect",Article content cloned verbatim from old .php post; images pulled from old site.
70,Invisalign for Crowded Teeth: Does It Work and How Long Does It Take?,Blog,blog/invisalign-for-crowded-teeth.html,https://www.drdantegonzales.com/blog/invisalign-for-crowded-teeth.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/invisalign-for-crowded-teeth.php,Invisalign for Crowded Teeth: Does It Work and How Long Does It Take?,Article content cloned verbatim from old .php post; images pulled from old site.
71,"Invisalign Treatment for Adults: Cost, Timeline, and Is It Worth It?",Blog,blog/invisalign-treatment-for-adults-cost-timeline.html,https://www.drdantegonzales.com/blog/invisalign-treatment-for-adults-cost-timeline.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/invisalign-treatment-for-adults-cost-timeline.php,"Invisalign Treatment for Adults: Cost, Timeline, and Is It Worth It?",Article content cloned verbatim from old .php post; images pulled from old site.
72,Can Invisalign Fix an Overbite? What You Need to Know,Blog,blog/can-invisalign-fix-an-overbite.html,https://www.drdantegonzales.com/blog/can-invisalign-fix-an-overbite.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-invisalign-fix-overbite.php,Can Invisalign Fix an Overbite? What You Need to Know,Article content cloned verbatim from old .php post; images pulled from old site.
73,Can Invisalign Fix an Underbite? What Orthodontists Want You to Know,Blog,blog/can-invisalign-fix-an-underbite.html,https://www.drdantegonzales.com/blog/can-invisalign-fix-an-underbite.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-invisalign-fix-underbite.php,Can Invisalign Fix an Underbite? What Orthodontists Want You to Know,Article content cloned verbatim from old .php post; images pulled from old site.
74,Can You Wear Invisalign Only at Night? Here Is What You Need to Know,Blog,blog/can-you-wear-invisalign-only-at-night.html,https://www.drdantegonzales.com/blog/can-you-wear-invisalign-only-at-night.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/can-you-wear-invisalign-only-at-night.php,Can You Wear Invisalign Only at Night? Here Is What You Need to Know,Article content cloned verbatim from old .php post; images pulled from old site.
75,Does Invisalign Work for Crowded Teeth? Treatment Timeline and What to Expect,Blog,blog/does-invisalign-work-for-crowded-teeth.html,https://www.drdantegonzales.com/blog/does-invisalign-work-for-crowded-teeth.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/does-invisalign-work-for-crowded-teeth.php,Does Invisalign Work for Crowded Teeth? Treatment Timeline and What to Expect,Article content cloned verbatim from old .php post; images pulled from old site.
76,How Much Do Braces Cost in 2026? Full Price Breakdown and Payment Options,Blog,blog/how-much-do-braces-cost.html,https://www.drdantegonzales.com/blog/how-much-do-braces-cost.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/how-much-do-braces-cost.php,How Much Do Braces Cost in 2026? Full Price Breakdown and Payment Options,Article content cloned verbatim from old .php post; images pulled from old site.
77,What's the Best Age for Braces? A Parent's Guide to Early Orthodontic Treatment,Blog,blog/whats-the-best-age-for-braces.html,https://www.drdantegonzales.com/blog/whats-the-best-age-for-braces.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/whats-the-best-age-for-braces.php,What's the Best Age for Braces? A Parent's Guide to Early Orthodontic Treatment,Article content cloned verbatim from old .php post; images pulled from old site.
78,How Long Do You Have to Wear a Retainer After Braces or Invisalign?,Blog,blog/how-long-do-you-have-to-wear-a-retainer.html,https://www.drdantegonzales.com/blog/how-long-do-you-have-to-wear-a-retainer.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/blog/how-long-do-you-have-to-wear-a-retainer.php,How Long Do You Have to Wear a Retainer After Braces or Invisalign?,Article content cloned verbatim from old .php post; images pulled from old site.
